Member_ID,First_Name,Last_Name,Join_Source,Email
100213,Oswaldo,Donaldson,Web,paulv@yahoo.com
100214,Kiana,Richards,Web,njpayne@gmail.com
100215,Uriel,Oconnell,Call Center,lukka@live.com
100216,Waylon,Jordan,Call Center,imightb@comcast.net
100217,Trevon,Durham,Call Center,spadkins@me.com
100218,Kimberly,Howe,Call Center,seasweb@msn.com
100219,Johnathan,Doyle,Web,wildfire@yahoo.com
100220,Giselle,French,Call Center,osrin@yahoo.com
100221,Hezekiah,Barr,Call Center,biglou@me.com
100222,Leonardo,Armstrong,Web,tskirvin@icloud.com
100223,Maleah,Esparza,Web,carcus@att.net
100224,Curtis,Chen,Call Center,blixem@live.com
100225,Daphne,Beasley,Call Center,gordonjcp@live.com
100226,Aliya,Bowen,Call Center,dkasak@mac.com
100227,Raul,Buchanan,Web,goldberg@aol.com
100228,Johnny,Mckinney,Call Center,caronni@icloud.com
100229,Gilbert,Green,Call Center,erynf@icloud.com
100230,Clay,Bautista,Call Center,seebs@aol.com
100231,Yaritza,Riddle,Call Center,muadip@icloud.com
100232,Tyson,Mccall,Web,bhima@mac.com
100233,Frances,Stephenson,Web,tjensen@mac.com
100234,Abril,Newman,Call Center,guialbu@verizon.net
100235,Braden,Cole,Call Center,mbswan@icloud.com
100236,Cadence,Barrera,Web,mxiao@verizon.net
100237,Dayana,Collier,Call Center,bowmanbs@hotmail.com
100238,Urijah,Kemp,Store,yangyan@optonline.net
100239,Serenity,Fisher,Web,juerd@sbcglobal.net
100240,Jack,Hines,Web,rnewman@yahoo.com
100241,Amaya,Barker,Web,dmbkiwi@msn.com
100242,Lindsay,Monroe,Web,jadavis@aol.com
100243,Xiomara,Bennett,Call Center,wildixon@gmail.com
100244,Paulina,Werner,Call Center,ullman@yahoo.com
100245,Skyler,Kerr,Store,raines@yahoo.ca
100246,Elijah,Sawyer,Call Center,majordick@outlook.com
100247,Valentino,Calderon,Web,jgoerzen@verizon.net
100248,Sanai,Chandler,Store,drewf@mac.com
100249,Grady,Donovan,Web,podmaster@optonline.net
100250,Ezekiel,Houston,Web,pspoole@me.com
